202340,1736
202341,1729
202342,2060
202343,2260
202344,2265
202345,2923
202346,3318
202347,2572
202348,2876
202349,3032
202350,3586
202351,4075
202352,3438
202401,3520
202402,2956
202403,3024
202404,4185
202405,5000
202406,4298
202407,3433
202408,3192
202409,2700
202410,2295
202411,1525
202412,1743
202413,1664
202414,1623
202415,1775
202416,1590
202417,1475
202418,1490
202419,1506
202420,1352
202421,1285
202422,1119
202423,1015
202424,1064
202425,935
202426,931
202427,619
202428,1013
202429,1011
202430,1108
202431,1098
202432,1081
202433,1114
202434,1519
202435,2054
202436,1563
202437,1547
202438,1390
